smiles,type
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],0.0
[C-]#N.[Cu+],0.0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Cl-].[Cl-].[Ti+4],0.0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Cr+2],0.0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],0.0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Ni+2],0.0
[CH-]1C=CC=C1.[CH-]1C=CC=C1.Cl[V]Cl,0.0
[CH3:1][C:2]1([CH3:18])[CH2:3][CH2:4][C:5]2=[C:6]([O:7]1)[C:8]1=[CH:9][CH:10]=[CH:11][CH:12]=[C:13]1[C:14](=[O:15])[C:16]2=[O:17],1.0
[CH3:1][C:2]12[CH:3]3[CH2:4][CH2:5][CH:6]([O:14]3)[C:7]1([CH3:13])[C:8](=[O:9])[O:10][C:11]2=[O:12],1.0
[CH3:1][C:2]12[CH2:3][CH:4]([OH:26])[CH:5]3[CH:6]([CH2:16][CH2:17][C:18]4=[CH:19][C:20](=[O:21])[CH:22]=[CH:23][C:24]34[CH3:25])[CH:7]1[CH2:8][CH2:9][C:10]2([OH:15])[C:11](=[O:12])[CH2:13][OH:14],1.0
[CH3:1][C:2]12[CH2:3][CH2:4][CH:5]3[CH:6]([CH2:14][CH2:15][C:16]4=[CH:17][CH2:18][CH2:19][CH2:20][CH:21]34)[CH:7]1[CH2:8][CH2:9][C:10]2([OH:13])[C:11]#[CH:12],1.0
[CH3:1][CH:2]([CH2:3][CH2:4][C:5]([OH:7])=[O:6])[CH:8]1[CH2:9][CH2:10][CH:11]2[CH:16]3[CH2:17][CH2:18][CH:19]4[CH2:24][CH:23]([OH:25])[CH2:22][CH2:21][C:20]4([CH3:26])[CH:15]3[CH2:14][CH2:13][C:12]12[CH3:27],1.0
[CH3:1][CH:2]([CH3:3])[CH2:4][CH:5]([NH:9][C:10](=[O:11])[O:12][CH2:13][CH:14]1[C:15]2=[CH:16][CH:17]=[CH:18][CH:19]=[C:20]2[C:21]2=[CH:22][CH:23]=[CH:24][CH:25]=[C:26]12)[C:6]([OH:8])=[O:7],0.0
[CH3:1][CH:2]([NH:9][CH2:10][CH2:11][CH:12]([C:13]1=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]1)[C:19]1=[CH:20][CH:21]=[CH:22][CH:23]=[CH:24]1)[C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1,1.0
[CH3:1][CH2:2][C:3]([CH3:4])([CH3:5])[C:6](=[O:7])[O:8][CH:9]1[CH2:10][CH:11]([CH3:30])[CH:12]=[C:13]2[CH:18]=[CH:17][CH:16]([CH3:19])[CH:15]([CH2:20][CH2:21][CH:22]3[CH2:23][CH:24]([OH:29])[CH2:25][C:26](=[O:27])[O:28]3)[CH:14]12,1.0
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][N+:8]([CH2:9][CH3:10])([CH2:11][CH3:12])[CH2:13][CH2:14][CH2:15][CH2:16][C:17]1=[CH:18][CH:19]=[C:20]([Cl:23])[CH:21]=[CH:22]1,0.0
[CH3:1][CH2:2][CH2:3][NH:4][CH:5]([CH3:6])[C:7](=[O:8])[NH:9][C:10]1=[C:11]([S:12][CH:13]=[C:14]1[CH3:15])[C:16](=[O:17])[O:18][CH3:19],1.0
[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[NH:8][CH:9]1[CH2:10][N:11]([CH3:25])[CH:12]2[CH2:13][C:14]3=[CH:15][NH:16][C:17]4=[CH:18][CH:19]=[CH:20][C:21](=[C:22]34)[C:23]2=[CH:24]1,1.0
[CH3:1][CH2:2][N+:3]([CH2:4][CH3:5])([CH2:6][CH3:7])[CH2:8][CH2:9][C:10]([OH:23])([CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1)[C:17]1=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]1,0.0
[CH3:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][C:5]1=[CH:6][CH:16]=[C:2]([OH:1])[CH:3]=[CH:4]1,1.0
[Cl:1][C:2]([Cl:3])=[C:4]([C:5]1=[CH:11][CH:10]=[C:8]([Cl:9])[CH:7]=[CH:6]1)[C:12]1=[CH:18][CH:17]=[C:15]([Cl:16])[CH:14]=[CH:13]1,1.0
[Cl-].[Cl-].[Ba+2],1.0
[Cl-].[Cl-].[Ca+2],0.0
[Cl-].[Cl-].[Cd+2],0.0
[Cl-].[Cl-].[Cl-].[Fe+3],0.0
[Cl-].[Cl-].[Cl-].[Yb+3],0.0
[Cl-].[Cl-].[Fe+2],0.0
[Cl-].[Cl-].[Ni+2],0.0
[Cl-].[Cl-].[Pd+2],0.0
[Cl-].[Cl-].[Sn+2],0.0
[Cl-].[Cl-].[Zn+2],0.0
[Cu+].[I-],0.0
[H]C([H])([H])C([H])([H])C(=O)C(=O)C([H])([H])C([H])([H])[H],0.0
[H]C([H])([H])O[P+](=O)OC([H])([H])[H],0.0
[H]C1([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0
[H]C1([H])N(N=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0
[H]C1([H])OC([H])([H])C([H])([H])OC1([H])[H],0.0
[H]C1([H])OC(=O)C([H])([H])C1([H])[H],0.0
[H]C1([H])SC([H])([H])C([H])([H])SC1([H])[H],0.0
[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C(=O)C2=C([H])C([H])=C([H])C([H])=C2O1,1.0
[H]C1=C([H])C([H])=C2C(=O)OC(=O)C2=C1[H],0.0
[H]C1=C([H])C([H])=C2C(C([H])=C([H])C3=C([H])C([H])=C([H])C([H])=C23)=C1[H],1.0
[H]C1=C([H])C([H])=C2N=C(SC([H])([H])SC#N)SC2=C1[H],1.0
[H]N([H])C(=NC(=O)C([H])([H])C1=C(Cl)C([H])=C([H])C([H])=C1Cl)N([H])[H],0.0
[H]N([H])C(=O)N([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C1[H],0.0
[H]N([H])C1=NN2C([H])=C(C(=O)N(C2=N1)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],0.0
[H]N([H])N([H])C(=O)C1=C([H])C([H])=NC([H])=C1[H],1.0
[H]N([H])N([H])C1=NN=C([H])C2=C([H])C([H])=C([H])C([H])=C12,0.0
[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12,1.0
[H]N(C(=O)C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C1=NOC(=C1[H])C([H])([H])[H],0.0
[H]N1C(=S)N([H])C([H])([H])C1([H])[H],0.0
[H]N1C(=S)N([H])C(=C([H])C1=O)C([H])([H])[H],0.0
[H]N1C2=C([H])C([H])=C([H])C([H])=C2C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C12,1.0
[H]OC([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])C([H])([H])O[H])C([H])=C1[H],1.0
[H]OC([H])([H])N([H])C(=S)N([H])C([H])([H])[H],0.0
[H]OC(=O)C([H])([H])C1=C([H])SC(=N1)C1=C([H])C([H])=C(Cl)C([H])=C1[H],0.0
[H]OC(=O)C([H])([H])OC1=C([H])C(Cl)=C(Cl)C([H])=C1Cl,1.0
[H]OC(=O)C1=C([H])C(O[H])=C2C(=O)C3=C(O[H])C([H])=C([H])C([H])=C3C(=O)C2=C1[H],1.0
[H]OC(=O)C1=C([H])N(C2=NC(=C([H])C([H])=C2C1=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],1.0
[H]OC(=O)C1=NN(C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1Cl,1.0
[H]OC1(O[H])C(=O)C2=C([H])C([H])=C([H])C([H])=C2C1=O,1.0
[H]OC1=C([H])C([H])=C(C([H])=C(C#N)C#N)C([H])=C1O[H],1.0
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC([H])([H])C([H])([H])[H],1.0
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1.0
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C1=C(O[H])C(=O)C2=C(O[H])C([H])=C(O[H])C([H])=C2O1,1.0
[H]OC1=C([H])C([H])=C(Cl)C2=C([H])C([H])=C([H])N=C12,1.0
[H]OC1=C([H])C([H])=C(N([H])[H])C([H])=C1[H],1.0
[H]OC1=C([H])C([H])=C(N([H])C(=O)C([H])([H])[H])C([H])=C1[H],1.0
[H]OC1=C([H])C(O[H])=C(O[H])C([H])=C1C(=O)C([H])([H])C([H])([H])C([H])([H])[H],1.0
[H]OC1=C([H])C(O[H])=C2C(=O)C([H])=C(OC2=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H],1.0
[H]OC1=C([H])C(O[H])=C2C(OC(=O)C([H])=C2C([H])([H])[H])=C1[H],1.0
[H]OC1=C(Cl)C([H])=C(Cl)C2=C([H])C([H])=C(N=C12)C([H])([H])[H],1.0
[H]OC1=C(N([H])C2=C([H])C([H])=C([H])C([H])=C12)C1=NC2=C([H])C([H])=C([H])C([H])=C2C1=O,1.0
[H]OC1=C2C(=O)C3=C(O[H])C([H])=C(C([H])=C3C(=O)C2=C([H])C([H])=C1[H])C([H])([H])[H],1.0
[H+].[B-](F)(F)(F)F,0.0
[K+].[I-],0.0
[Li+].[Li+].[Li+].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)[O-])C(C(=O)NCCC(=O)NCCS)O.O.O,0.0
[Li+].[Li+].[O-]S(=O)(=O)[O-],0.0
[Li+].C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-],0.0
[N-]=[N+]=[N-].[Na+],0.0
[N+](=O)([O-])[O-].[K+],0.0
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ca+2],0.0
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Mg+2],0.0
[N+](=O)([O-])[O-].[Na+],0.0
[N+](=O)([O-])[O-].[Tl+],0.0
[N+](=O)(O)[O-].[N+](=O)(O)[O-].[Cd],0.0
[Na+].[Br-],0.0
[Na+].[I-],0.0
[NH3+]O.[NH3+]O.[O-]S(=O)(=O)[O-],0.0
[NH4+].[N+](=O)([O-])[O-],0.0
[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-],0.0
[NH4+].[NH4+].[O-]S(=O)(=S)[O-],0.0
[NH4+].[O-]Cl(=O)(=O)=O,0.0
[NH4+].NS(=O)(=O)[O-],0.0
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],0.0
[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl,0.0
[O-][N+](=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,1.0
[O-][N+](=O)C1=CC(=C2C=CC=CC2=C1)[N+]([O-])=O,1.0
[O-][N+](=O)C1=CC(=CC=C1)S(=O)(=O)NCCNS(=O)(=O)C1=CC(=CC=C1)[N+]([O-])=O,1.0
[O-][N+](=O)C1=CC(C=O)=CC=C1Cl,0.0
[O-][N+](=O)C1=CC=C(\C=C\C2=CC=C(C=C2S([O-])(=O)=O)[N+]([O-])=O)C(=C1)S([O-])(=O)=O,0.0
[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)[N-]C1=O,1.0
[O-][N+](=O)C1=CC=C(C=CC(=O)C2=CC=CC=C2)C=C1,1.0
[O-][N+](=O)C1=CC=C(CBr)C=C1,0.0
[O-][N+](=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,1.0
[O-][N+](=O)C1=CC=C(F)C(=C1)[N+]([O-])=O,1.0
[O-][N+](=O)C1=CC=C(NC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,1.0
[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1,1.0
[O-][N+](=O)C1=CC=C(O1)C=NN1CC(CN2CCOCC2)OC1=O,0.0
[O-][N+](=O)C1=CC=C(O1)C1=NNC(=O)O1,1.0
[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1,1.0
[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)N=C=S)C=C1,1.0
[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2[N+]([O-])=O)C(F)(F)F)C=C1,1.0
[O-][N+](=O)C1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,1.0
[O-][N+](=O)C1=CC=C(SC#N)C(=C1)[N+]([O-])=O,1.0
[O-][N+](=O)C1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34,1.0
[O-][N+](=O)C1=CC=C2C=CS(=O)(=O)C2=C1,1.0
[O-][N+](=O)C1=CC=C2CCC3=CC=CC1=C23,1.0
[O-][N+](=O)C1=CC=C2N=CC=CC2=C1,1.0
[O-][N+](=O)C1=CC=C2N=CNC2=C1,1.0
[O-][N+](=O)C1=CC=C2NC(=O)C(=O)C2=C1,1.0
[O-][N+](=O)C1=CC=C2NC(=O)CN=C(C3=CC=CC=C3Cl)C2=C1,0.0
[O-][N+](=O)C1=CC=C2NN=CC2=C1,1.0
[O-][N+](=O)C1=CC=CC(=C1)C(=O)NC1=NC2=CC=CC=C2N1CCN1CCOCC1,1.0
[O-][N+](=O)C1=CC=CC(=C1)C(Cl)=O,0.0
[O-][N+](=O)C1=CC=CC(Cl)=C1,0.0
[O-][N+](=O)C1=CC=CC=C1[N+]([O-])=O,1.0
[O-][N+](=O)C1=CC=CC=C1CC#N,0.0
[O-][N+](=O)C1=CC=CC=C1Cl,0.0
[O-][N+](=O)C1=CC=CC2=CC=CC(=C12)[N+]([O-])=O,1.0
[O-][N+](=O)C1=CN=C(NC(=O)C2=CC=CS2)S1,1.0
[O-][N+]1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC(=O)C1,0.0
[O-][N+]1=CC=CC=C1[S-],1.0
[O-][N+]1=CC=CC=C1SSC1=CC=CC=[N+]1[O-],1.0
[O-][Se](=O)[O-].[Na+].[Na+],0.0
[O-]\[N+](=N/C1=CC=CC=C1)C1=CC=CC=C1,0.0
[O-]C(=O)\C=C\C([O-])=O,0.0
[O-]C(=O)C1=CC(=O)C2=C(N1)C(=O)C=C1OC3=CC=CC=C3N=C21,1.0
[O-]C(=O)C1=CC=CC=C1[O-],1.0
[O-]C(=O)CC1=CC=CC=C1,1.0
[O-]C(=O)CCCOC1=CC=C(Cl)C=C1Cl,0.0
[O-]C1=CC=CC=C1C1=CC=CC=C1,1.0
[O-]Cl(=O)=O.[K+],0.0
[O-]Cl(=O)=O.[Na+],0.0
[O-]Cl.[Na+],0.0
[O-]Cl=O.[Na+],0.0
[O-]N1C=CC=CC1=S,1.0
[O-]P([O-])(=O)OP([O-])([O-])=O,0.0
[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],0.0
[O-]S([O-])(=O)=O,0.0
[O-]S(=O)(=O)[O-].[Fe+2],0.0
[O-]S(=O)(=O)[O-].[Na+].[Na+],0.0
[O-]S(=O)(=O)C(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,0.0
[O-]S(=O)(=O)CCCS([O-])(=O)=O,0.0
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+],0.0
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[Na+].[Na+],0.0
[O-]S(=O)(=O)SSS(=O)(=O)[O-].[K+].[K+],0.0
[O-]S(=O)OCC1OC(COS([O-])=O)(OC2OC(COS([O-])=O)C(OS([O-])=O)C(OS([O-])=O)C2OS([O-])=O)C(OS([O-])=O)C1OS([O-])=O,0.0
[O-2].[O-2].[O-2].[As+3].[As+3],0.0
[OH:1][C:2]1=[C:10]([Cl:11])[C:8]([Cl:9])=[CH:7][C:5]([Cl:6])=[C:3]1[Cl:4],1.0
[OH:1][C:2]1=[C:9]([Br:10])[CH:6]=[C:5]([Br:7])[CH:4]=[C:3]1[Br:8],1.0
[OH:16][CH2:15][CH2:14][S:13][C:10]1=[C:9]([S:17][CH2:18][CH2:19][OH:20])[C:7](=[O:8])[C:5]2=[CH:6][CH:1]=[CH:2][CH:3]=[C:4]2[C:11]1=[O:12],1.0
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0.0
B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,1.0
B(F)(F)F.O.O,0.0
B(O)(O)O,0.0
B(OC(C)C)(OC(C)C)OC(C)C,0.0
BrC(Br)(Br)C=O,1.0
BrC(Br)Br,0.0
BrC1=C(Br)C=C(S1)C(=O)NC1=CC=C(Br)C=C1,1.0
BrC1=C2C=CC=CC2=CC2=CC=CC=C12,1.0
BrC1=CC=C(OC2=CC(Br)=C(Br)C=C2Br)C(Br)=C1,1.0
BrC1=CC=C(OC2=CC=C(Br)C=C2)C=C1,1.0
BrC1=CC=C2NC(=O)CN=C(C3=CC=CC=N3)C2=C1,0.0
BrC1=CC=CC(=C1)C1=CC=CC=C1,1.0
BrC1=CC=CC=C1C1=CC=CC=C1,1.0
BrCC(Br)C1CCC(Br)C(Br)C1,1.0
BrCCBr,0.0
C#CC1(CCCCC1)O,0.0
C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.0
C#CCO,0.0
C(#N)/C(=C(\C#N)/N)/N,0.0
C(#N)[N-]C#N.[Na+],0.0
C(#N)[S-].[K+],0.0
C(#N)[S-].[Na+],0.0
C(#N)[S-].[NH4+],0.0
C(#N)C(Br)Br,0.0
C(#N)C(C(=O)N)(Br)Br,0.0
C(#N)C(Cl)Cl,0.0
C(#N)N,0.0
C(#N)N=C(N)N,0.0
C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,0.0
C(/C=C/C(=O)O)N,0.0
C(/C=C/CBr)Br,0.0
C(/C=C/CCl)Cl,0.0
C(/C=C/Cl)Cl,0.0
C(/C=C/CO)O,0.0
C(/C=C\CCl)Cl,0.0
C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O.O.O.[Ca+2],0.0
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],0.0
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.0
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.0
C([C@@H](C(=O)O)N)OC(=O)C=[N+]=[N-],0.0
C([C@@H](C(=O)O)N)OP(=O)(O)O,0.0
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,0.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,0.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,0.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,0.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O.O,0.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,0.0
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,0.0
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,0.0
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O,0.0
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)(O)[O-].[Na+].[Na+].[Na+],0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@]2([C@H]([C@H]([C@@H](O2)O)O)O)CO)O)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O.O.O,0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al].[Al].[Al].[Al].[Al].[Al].[Al].[Al],0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COS(=O)[O-])OS(=O)[O-])OS(=O)[O-])COS(=O)[O-])OS(=O)[O-])OS(=O)[O-])OS(=O)[O-])OS(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@H]([C@H]([C@@H](C(CO)O)O)O)O)O)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,0.0
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)[S-])O)O)O)O.[Au+],0.0
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,0.0
C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O,0.0
C([C@H]([C@@H]1[C@@H]([C@@H]2[C@H](O1)O[C@@H](O2)C(Cl)(Cl)Cl)O)O)O,0.0
C([C@H]([C@@H]1[C@@H]([C@@H]2[C@H](O1)O[C@H](O2)C(Cl)(Cl)Cl)O)O)O,0.0
C([C@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],0.0
C([C@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.0
C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br,0.0
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,0.0
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[K+],0.0
